aaa,",5
aab,,5
aae,,5
aaf,,5
aah,She let out an aah of relief,3
aal,,5
aam,,5
aan,,5
aap,,5
aar,,5
aas,,5
aau,,5
aba,The ABA is a professional basketball league,4
abb,,5
abc,The ABCs are the basics of any subject,1
abd,,5
abe,Abe Lincoln was the 16th President of the United States,2
abm,,5
abo,,5
abr,,5
abs,He has strong abs from working out,2
abt,,5
abu,Abu is the monkey in Aladdin,3
aby,,5
aca,The ACA is also known as Obamacare,4
acc,,5
acd,,5
ace,He served an ace in the tennis match,1
ach,,5
aci,,5
ack,He sent an ACK to confirm receipt of the message,4
acl,He tore his ACL during the game,3
acn,,5
acr,,5
acs,,5
act,She played the lead role in the school act,1
acu,,5
acv,,5
ada,Ada Lovelace is considered the first computer programmer,3
adc,,5
add,Please add these numbers,1
ade,Lemonade is a refreshing drink,2
adj,,5
adl,,5
adm,,5
adn,,5
ado,Much ado about nothing,2
adp,,5
ads,Online ads can be very annoying,1
adt,,5
adu,,5
adv,,5
adz,He used an adz to shape the wood,3
aec,,5
aef,,5
aei,,5
aeo,,5
aer,,5
aes,,5
aet,,5
afb,,5
afc,,5
aff,,5
afg,,5
afi,,5
afk,He went AFK during the game,4
afl,The AFL is a professional football league,4
afp,,5
afr,,5
afs,,5
aft,The ship's aft section,3
aga,,5
age,What is your age?,1
agh,,5
agi,,5
agn,,5
ago,That happened a long time ago,1
agr,,5
ags,,5
agt,,5
aha,Aha! I found it!,1
ahh,"Ahh, that feels good",3
ahi,Ahi tuna is delicious,3
ahl,,5
ahn,,5
aho,,5
ahs,,5
aia,,5
aid,He gave first aid to the injured person,1
aig,,5
aii,,5
ail,He began to ail after the long journey,3
aim,His aim was perfect,1
ain,,5
air,The air is fresh today,1
ais,,5
ait,,5
aix,,5
aja,,5
ajo,,5
ajs,,5
aka,Also known as (aka) John,4
akc,The AKC registers purebred dogs,4
ake,,5
aks,,5
aku,,5
ala,The ALA is the American Library Association,4
alb,He wore an alb during the ceremony,3
alc,,5
ald,,5
ale,He ordered a pint of ale,2
alf,Alf was a popular TV character in the 80s,3
alg,,5
ali,Ali is a common first name,3
alk,,5
all,All of them were present,1
alo,,5
alp,The Alps are a mountain range in Europe,3
als,,5
alt,He took the alt route to avoid traffic,3
alu,,5
aly,,5
ama,Amazon's stock ticker symbol is AMZN,3
amb,,5
amc,AMC is a popular movie theater chain,3
amd,AMD is a well-known semiconductor company,3
ame,,5
amf,,5
ami,Ami is short for "amigo" in Spanish,3
aml,,5
amo,Amo means "I love" in Latin,3
amp,He plugged in his guitar amp,2
amr,,5
ams,,5
amt,,5
amu,,5
amy,Amy is a common first name,2
ana,Ana is a common first name,2
anc,,5
and,He likes pizza and pasta,1
ane,,5
ang,,5
ani,Ani is a short form of Anakin,3
ann,Ann is a common first name,2
ano,,5
anr,,5
ans,,5
ant,An ant is a small insect,1
anu,,5
any,Any of them will do,1
aoc,Alexandria Ocasio-Cortez is often referred to as AOC,3
aok,Everything is A-OK,3
aol,AOL was a popular internet service provider,3
aom,,5
aon,,5
aor,,5
apa,The APA style is used for academic papers,3
apb,An APB was issued for the suspect,3
apc,An APC is an armored personnel carrier,3
ape,An ape is a large primate,1
api,API stands for Application Programming Interface,3
apl,,5
apo,,5
app,He downloaded a new app,1
apr,April is abbreviated as Apr,2
aps,,5
apt,He is apt to succeed,2
apu,Apu is a character from The Simpsons,3
aqi,The AQI measures air quality,3
ara,,5
arb,,5
arc,The arc of the story was compelling,2
ard,,5
are,Are you coming?,1
arf,The dog went "arf",3
arg,He began to argue,2
ari,Ari is a common first name,3
arj,,5
ark,Noah's Ark is a famous biblical story,2
arm,He broke his arm,1
arn,,5
aro,,5
arp,,5
arr,,5
ars,,5
art,Art is a form of expression,1
aru,,5
ary,,5
asa,The ASA sets standards for advertising,4
asc,,5
ase,,5
asf,,5
ash,Ash is the residue left after burning,2
asi,,5
ask,He wanted to ask a question,1
asl,ASL stands for American Sign Language,3
aso,,5
asp,An asp is a type of snake,2
asr,,5
ass,He made an ass of himself,2
ast,The asteroid passed close to Earth,2
asu,ASU is a well-known university in Arizona,3
asv,,5
ata,The ATA is a professional tennis association,4
atc,ATC stands for Air Traffic Control,4
